draft_year,team_abbr,qb_name,pick_overall,top_10,wins_before,wins_before_3yr_avg,wins_after_1,wins_after_2_3,wins_after_5
2000,NYJ,Chad Pennington,18,False,8.0,6.0,10.0,7.5,4.0
2002,DET,Joey Harrington,3,True,2.0,11.666666666666666,5.0,5.5,7.0
2002,WAS,Patrick Ramsey,32,False,8.0,7.666666666666667,5.0,8.0,9.0
2003,CIN,Carson Palmer,1,True,2.0,12.333333333333334,8.0,9.5,4.0
2003,JAX,Byron Leftwich,7,True,6.0,9.666666666666666,9.0,10.0,5.0
2003,BAL,Kyle Boller,19,False,7.0,7.333333333333333,9.0,9.5,11.0
2003,CHI,Rex Grossman,22,False,4.0,11.333333333333334,5.0,12.0,9.0
2004,PIT,Ben Roethlisberger,11,False,6.0,5.666666666666667,11.0,9.0,9.0
2004,BUF,J.P. Losman,22,False,6.0,8.0,5.0,7.0,6.0
2005,WAS,Jason Campbell,25,False,6.0,4.666666666666667,5.0,8.5,6.0
2006,TEN,Vince Young,3,True,4.0,8.666666666666666,10.0,10.5,9.0
2006,ARI,Matt Leinart,10,True,5.0,4.666666666666667,8.0,9.5,8.0
2006,DEN,Jay Cutler,11,False,13.0,8.333333333333334,7.0,8.0,8.0
2007,CLE,Brady Quinn,22,False,4.0,8.333333333333334,4.0,5.0,5.0
2008,ATL,Matt Ryan,3,True,4.0,4.666666666666667,9.0,11.5,4.0
2008,BAL,Joe Flacco,18,False,5.0,3.3333333333333335,9.0,12.0,8.0
2009,DET,Matthew Stafford,1,True,0.0,7.666666666666667,6.0,7.0,11.0
2009,NYJ,Mark Sanchez,5,True,9.0,5.333333333333333,11.0,7.0,4.0
2011,CAR,Cam Newton,1,True,2.0,6.666666666666667,7.0,9.5,6.0
2011,TEN,Jake Locker,8,True,6.0,10.0,6.0,4.5,9.0
2011,JAX,Blaine Gabbert,10,True,8.0,3.0,2.0,3.5,3.0
2011,MIN,Christian Ponder,12,False,6.0,6.0,10.0,6.0,8.0
2012,IND,Andrew Luck,1,True,2.0,12.666666666666666,11.0,9.5,4.0
2012,MIA,Ryan Tannehill,8,True,6.0,13.0,8.0,7.0,6.0
2012,CLE,Brandon Weeden,22,False,4.0,7.333333333333333,4.0,5.0,0.0
2013,BUF,EJ Manuel,16,False,6.0,10.333333333333334,9.0,7.5,6.0
2014,JAX,Blake Bortles,3,True,4.0,10.0,5.0,6.5,6.0
2014,CLE,Johnny Manziel,22,False,4.0,8.333333333333334,3.0,0.5,6.0
2014,MIN,Teddy Bridgewater,32,False,5.0,6.333333333333333,11.0,10.5,10.0
2015,TEN,Marcus Mariota,2,True,2.0,8.0,9.0,9.0,11.0
2016,PHI,Carson Wentz,2,True,7.0,6.666666666666667,13.0,9.0,9.0
2016,DEN,Paxton Lynch,26,False,12.0,13.0,5.0,6.5,7.0
2022,PIT,Kenny Pickett,20,False,9.0,9.333333333333334,10.0,,
2021,JAX,Trevor Lawrence,1,True,1.0,6.333333333333333,9.0,9.0,
2021,NYJ,Zach Wilson,2,True,2.0,10.0,7.0,7.0,
2021,CHI,Justin Fields,11,False,8.0,7.5,3.0,7.0,
2020,CIN,Joe Burrow,1,True,2.0,10.666666666666666,10.0,10.5,
2020,MIA,Tua Tagovailoa,5,True,5.0,8.5,9.0,10.0,
2020,LAC,Justin Herbert,6,True,5.0,9.0,9.0,7.5,
2019,ARI,Kyler Murray,1,True,3.0,6.0,8.0,7.5,
2019,NYG,Daniel Jones,6,True,5.0,7.333333333333333,6.0,6.5,
2019,WAS,Dwayne Haskins,15,False,7.0,10.666666666666666,7.0,7.5,
2018,CLE,Baker Mayfield,1,True,0.0,8.5,6.0,9.5,11.0
2018,NYJ,Sam Darnold,3,True,5.0,7.333333333333333,7.0,3.0,7.0
2018,BUF,Josh Allen,7,True,9.0,5.0,10.0,12.0,11.0
2018,BAL,Lamar Jackson,32,False,9.0,4.0,14.0,9.5,13.0
2017,CHI,Mitchell Trubisky,2,True,3.0,8.333333333333334,12.0,8.0,3.0
2017,HOU,Deshaun Watson,12,False,9.0,9.333333333333334,11.0,7.0,3.0
